name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Toudouze - Clauzel,9020,7,3,"[48.87929591733507, 2.3373600840568547]",2023-04-25T10:45:36+00:00,10,11,21,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Mairie du 12ème,12109,2,1,"[48.840855311763, 2.3875549435616]",2023-04-25T10:43:55+00:00,3,27,30,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-04-25T11:31:00.533Z
Jourdan - Stade Charléty,14014,3,3,"[48.819428333369, 2.3433353751898]",2023-04-25T10:45:18+00:00,6,54,60,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Charonne - Robert et Sonia Delaunay,11104,0,0,"[48.855907555969, 2.3925706744194]",2023-04-25T10:42:39+00:00,0,19,20,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Messine - Place Du Pérou,8026,4,4,"[48.875448033960744, 2.315508019010038]",2023-04-25T10:44:30+00:00,8,4,12,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-04-25T11:31:00.533Z
Saint-Romain - Cherche-Midi,6108,7,4,"[48.84708159081946, 2.321374788880348]",2023-04-25T10:37:54+00:00,11,6,17,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Pierre et Marie Curie - Maurice Thorez,42016,3,2,"[48.81580226360801, 2.376804985105991]",2023-04-25T10:44:47+00:00,5,22,27,OUI,OUI,Ivry-sur-Seine,OUI,2023-04-25T11:31:00.533Z
Silly - Galliéni,21010,0,10,"[48.835583838706, 2.2325500845909]",2023-04-25T10:44:56+00:00,10,12,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-04-25T11:31:00.533Z
Grande Armée - Brunel,17038,5,10,"[48.876116, 2.288124]",2023-04-25T10:42:08+00:00,15,43,62,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Square Boucicaut,7003,31,17,"[48.851296433665276, 2.325061820447445]",2023-04-25T10:46:01+00:00,48,12,60,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Jouffroy d'Abbans - Wagram,17026,0,2,"[48.881973298352, 2.301132157445]",2023-04-25T10:45:49+00:00,2,20,40,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Morillons - Dantzig,15047,1,0,"[48.83310149953933, 2.299380004405976]",2023-04-25T10:44:39+00:00,1,51,52,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Le Brix et Mesmin - Jourdan,14108,0,0,"[48.82234096593411, 2.327861653302471]",2023-04-25T10:38:53+00:00,0,20,21,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Bir Hakeim,15026,11,14,"[48.853844054333514, 2.289705348222022]",2023-04-25T10:45:33+00:00,25,8,33,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Liberté - Vert-de-Maisons,47007,4,16,"[48.79014780960843, 2.43286281824112]",2023-04-25T10:44:04+00:00,20,0,20,OUI,OUI,Maisons-Alfort,OUI,2023-04-25T11:31:00.533Z
Porte de Saint-Ouen - Bessières,17044,0,4,"[48.89792240854517, 2.32851451022192]",2023-04-25T10:45:50+00:00,4,34,42,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Chazelles - Courcelles,17025,8,2,"[48.879406604954, 2.3034455627202988]",2023-04-25T10:43:36+00:00,10,23,35,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Ramponeau - Belleville,20143,2,0,"[48.871031137596, 2.379056852114]",2023-04-25T10:42:29+00:00,2,40,44,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Lagny - Victor Basch,43002,3,1,"[48.84884147189881, 2.426325418925233]",2023-04-25T10:43:47+00:00,4,22,26,OUI,OUI,Vincennes,OUI,2023-04-25T11:31:00.533Z
Saint-Cloud - Hippodrome,16138,1,1,"[48.85772148887421, 2.2549109905958176]",2023-04-25T10:39:06+00:00,2,28,30,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Louis Lejeune - Barbès,21216,5,0,"[48.81807418981508, 2.3267009854316716]",2023-04-25T10:44:33+00:00,5,20,25,OUI,OUI,Montrouge,OUI,2023-04-25T11:31:00.533Z
Général Martial Valin - Pont du Garigliano,15068,10,3,"[48.83823094269141, 2.270506024360657]",2023-04-25T10:41:58+00:00,13,0,16,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Rond-point du Dr Albert Schweitzer,22207,0,1,"[48.78980918988166, 2.3143940046429634]",2023-04-25T10:38:48+00:00,1,21,22,OUI,OUI,Bagneux,OUI,2023-04-25T11:31:00.533Z
Raspail - Varenne,7004,4,14,"[48.853147816545, 2.3263905197382]",2023-04-25T10:44:35+00:00,18,0,18,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Théâtre des Amandiers - Palais des sports,92002,13,10,"[48.892648526839, 2.2136941552162]",2023-04-25T10:41:57+00:00,23,0,23,OUI,OUI,Nanterre,OUI,2023-04-25T11:31:00.533Z
Serrurier,19027,0,0,"[48.8804934032465, 2.39806417375803]",2023-04-25T10:39:43+00:00,0,18,18,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
De Toqueville - Terrasse,17048,0,0,"[48.882428, 2.314002]",2023-04-25T10:43:26+00:00,0,29,30,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Jules Guesde - Pont du Port à l'Anglais,44017,5,22,"[48.79628807093802, 2.417212128639221]",2023-04-25T10:41:02+00:00,27,2,30,OUI,OUI,Vitry-sur-Seine,OUI,2023-04-25T11:31:00.533Z
Artois - Berri,8103,13,9,"[48.87393521240818, 2.3064258322119713]",2023-04-25T10:41:09+00:00,22,1,23,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Charlot - Stade Gabriel Voisin,21323,0,0,"[48.827228120536, 2.268122527474]",2023-04-07T06:20:24+00:00,0,0,0,NON,NON,Issy-les-Moulineaux,NON,2023-04-25T11:31:00.533Z
Liard - Amiral Mouchez,14013,1,0,"[48.8214169, 2.342167]",2023-04-25T10:42:13+00:00,1,13,14,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Las Cases - Bourgogne,7011,7,11,"[48.85909110474066, 2.3185685276985173]",2023-04-25T10:45:21+00:00,18,4,22,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Félix Ziem - Armand Gauthier,18111,2,0,"[48.88949630486821, 2.333393658804396]",2023-04-25T10:43:04+00:00,2,23,25,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Abbeville - Faubourg Poissonnière,9002,0,0,"[48.879223, 2.349147]",2023-04-25T10:40:03+00:00,0,12,14,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Youri Gagarine - Karl Marx,48003,1,1,"[48.78448485079149, 2.35908430069685]",2023-04-25T10:36:36+00:00,2,20,22,OUI,OUI,Villejuif,OUI,2023-04-25T11:31:00.533Z
Octave Feuillet - Albéric Magnard,16110,3,1,"[48.86106902949534, 2.2730283066630363]",2023-04-25T10:40:49+00:00,4,17,21,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Ney - Porte de Clignancourt,18134,0,1,"[48.8978867, 2.3458001]",2023-04-25T10:36:20+00:00,1,23,25,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Faubourg Montmartre - La Fayette,9014,16,16,"[48.87525454905335, 2.340853661298752]",2023-04-25T10:45:25+00:00,32,1,35,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Jean Oestreicher - Porte de Champerret,17032,5,4,"[48.88655580065981, 2.288640439510346]",2023-04-25T10:42:54+00:00,9,12,21,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Granges aux Belles,10115,1,0,"[48.8761373390584, 2.3680844979417]",2023-04-25T10:45:16+00:00,1,23,27,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Dunkerque - Rocroy,10029,2,0,"[48.880726, 2.351464]",2023-04-25T10:45:16+00:00,2,19,24,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Gay Lussac - Saint-Jacques,5005,5,7,"[48.844730256132095, 2.341923944866407]",2023-04-25T10:40:02+00:00,12,12,24,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Boulangers - Cardinal Lemoine,5022,2,5,"[48.8462904, 2.3521495]",2023-04-25T10:45:02+00:00,7,13,20,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Boudreau - Auber,9106,7,6,"[48.87219, 2.329423]",2023-04-25T10:45:51+00:00,13,1,14,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Verger - Colonel Guichard,21328,1,0,"[48.816376985087, 2.2670380088932]",2023-04-25T10:45:39+00:00,1,28,29,OUI,OUI,Issy-les-Moulineaux,OUI,2023-04-25T11:31:00.533Z
Pereire - Ternes,17040,4,3,"[48.87973954830735, 2.288012132048607]",2023-04-25T10:41:01+00:00,7,40,48,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Douai - Bruxelles,9038,0,0,"[48.88320784122797, 2.3308449949028507]",2023-04-25T10:41:51+00:00,0,26,27,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Gare Saint-Lazare - Isly,8009,6,16,"[48.874777677621296, 2.326515804784655]",2023-04-25T10:44:39+00:00,22,4,27,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Quai de l'Horloge - Pont Neuf,1001,7,8,"[48.857058739111, 2.3417982839439]",2023-04-25T10:45:31+00:00,15,1,17,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Ambroise Rendu - Porte Brunet,19105,0,0,"[48.883667, 2.395733]",2023-04-25T10:43:56+00:00,0,17,17,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Gare Rosny-Bois-Perrier,31103,26,8,"[48.88115023337061, 2.480436824262142]",2023-04-25T10:44:07+00:00,34,2,36,OUI,OUI,Rosny-sous-Bois,OUI,2023-04-25T11:31:00.533Z
Vigée-Lebrun - Anselme Payen,15112,2,0,"[48.838683941628375, 2.3110422492027287]",2023-04-25T10:39:13+00:00,2,22,24,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Octave Gréard - Tour Eiffel,7025,14,14,"[48.856502977696, 2.2931787543289]",2023-04-25T10:43:54+00:00,28,4,33,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Château - République,31706,2,1,"[48.862923800596, 2.4155035614967]",2023-04-25T10:45:23+00:00,3,23,26,OUI,OUI,Bagnolet,OUI,2023-04-25T11:31:00.533Z
Rossini - Laffitte,9022,9,21,"[48.87334627510507, 2.337980867701675]",2023-04-25T10:44:51+00:00,30,1,33,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Argenteuil - Voltaire,26003,0,0,"[48.91864865955558, 2.2814112156629562]",2023-04-25T10:44:53+00:00,0,16,16,OUI,OUI,Asnières-sur-Seine,OUI,2023-04-25T11:31:00.533Z
Legendre - Clichy,17004,0,0,"[48.88896161855884, 2.322528975094376]",2023-04-25T10:38:24+00:00,0,38,40,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Quai de la Seine,19003,1,0,"[48.884492238407525, 2.3703941702842717]",2023-04-25T10:38:05+00:00,1,21,24,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Lisbonne - Monceau,8036,17,1,"[48.87745567681383, 2.309694221419506]",2023-04-25T10:45:35+00:00,18,15,33,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Gare de Lyon - Place Louis Armand,12151,10,3,"[48.845515089794, 2.3726498446286]",2023-04-25T10:45:37+00:00,13,47,60,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Ranelagh - Mozart,16026,8,4,"[48.8554439, 2.2704418]",2023-04-25T10:45:58+00:00,12,11,23,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Saint-Maur - Roquette,11023,2,0,"[48.858688774062955, 2.383553994571467]",2023-04-25T10:45:39+00:00,2,44,46,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Pereire - Rennequin,17030,3,3,"[48.88364782887555, 2.2952447086572647]",2023-04-25T10:42:16+00:00,6,16,23,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Claude Decaen - Cannebière,12111,1,1,"[48.83761417037952, 2.397253782195704]",2023-04-25T10:44:25+00:00,2,25,27,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Berri - Haussmann,8034,13,17,"[48.874746047357135, 2.3082953318953514]",2023-04-25T10:44:59+00:00,30,4,35,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Delphine Seyrig - Général Leclerc,19043,3,2,"[48.893923963057865, 2.39790290594101]",2023-04-25T10:43:14+00:00,5,47,53,OUI,OUI,Pantin,OUI,2023-04-25T11:31:00.533Z
Panthéon - Valette,5032,34,2,"[48.84702057165222, 2.3464982619671075]",2023-04-25T10:44:39+00:00,36,2,39,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Cimetière de Montrouge,14020,2,1,"[48.822009, 2.322188699]",2023-04-25T10:40:14+00:00,3,55,58,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
Desaix - Edgar Faure,15067,2,1,"[48.852804604940296, 2.293077029857222]",2023-04-25T10:43:56+00:00,3,8,12,OUI,OUI,Paris,OUI,2023-04-25T11:31:00.533Z
