name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Mairie de Rosny-sous-Bois,31104,15,1,"[48.871256519012, 2.4865807592869]",2023-04-27T12:52:09+00:00,16,14,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-04-27T13:03:00.49Z
Mairie du 12ème,12109,0,1,"[48.840855311763, 2.3875549435616]",2023-04-27T12:51:48+00:00,1,28,30,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-04-27T13:03:00.49Z
Cassini - Denfert-Rochereau,14111,3,0,"[48.837525839067, 2.3360354080796]",2023-04-27T12:51:28+00:00,3,20,25,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Jourdan - Stade Charléty,14014,9,1,"[48.819428333369, 2.3433353751898]",2023-04-27T12:48:19+00:00,10,49,60,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Basilique,32017,0,0,"[48.93626891059109, 2.3588666820200914]",2023-04-27T12:46:49+00:00,0,20,22,OUI,OUI,Saint-Denis,OUI,2023-04-27T13:03:00.49Z
Messine - Place Du Pérou,8026,8,3,"[48.875448033960744, 2.315508019010038]",2023-04-27T12:52:16+00:00,11,1,12,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-04-27T13:03:00.49Z
Lacépède - Monge,5110,8,1,"[48.84389286531899, 2.3519663885235786]",2023-04-27T12:52:05+00:00,9,10,23,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Saint-Romain - Cherche-Midi,6108,6,8,"[48.84708159081946, 2.321374788880348]",2023-04-27T12:50:40+00:00,14,2,17,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Pierre et Marie Curie - Maurice Thorez,42016,2,1,"[48.81580226360801, 2.376804985105991]",2023-04-27T12:50:39+00:00,3,24,27,OUI,OUI,Ivry-sur-Seine,OUI,2023-04-27T13:03:00.49Z
Bois de Vincennes - Gare,41301,3,8,"[48.836022242886884, 2.4708339950830287]",2023-04-27T12:51:39+00:00,11,37,50,OUI,OUI,Nogent-sur-Marne,OUI,2023-04-27T13:03:00.49Z
Grande Armée - Brunel,17038,15,6,"[48.876116, 2.288124]",2023-04-27T12:50:40+00:00,21,40,62,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
Bracion - Périphérique,15202,2,1,"[48.826103771275, 2.3004549373748]",2023-04-27T12:52:16+00:00,3,27,30,OUI,OUI,Paris,OUI,2023-04-27T13:03:00.49Z
